,,,,,,,,17.5,,,,,,,,
Rank 2021,Settlement Name,Local Authority District,Rank Physical Environment,Rank Quality of Living,Rank Going Green,Price band,Rank in price band,,,Physical Environment,Overall individual Rank,Price Band,,,Over £400k,Overall individual Rank
59,Kirkcaldy and Dysart,Fife,118,55,59,£200-£300k,32,,,,,,,,,
60,Newarthill,North Lanarkshire,161,36,52,£200-£300k,33,,,,,,,,,
61,West Calder,West Lothian,84,28,123,£300-£400k,13,,,,,,,,,
62,Peterhead,Aberdeenshire,95,66,61,£200-£300k,34,,,,,,,,,
63,Carluke,South Lanarkshire,100,112,21,£300-£400k,14,,,,,,,,,
64,Dalgety Bay,Fife,61,77,81,£200-£300k,35,,,,,,,,,
65,Cove Bay,Aberdeen City,115,60,63,£300-£400k,15,,,,,,,,,
66,Bearsden,East Dunbartonshire,19,156,48,Over £400k,16,,,,,,,,,
67,Irvine,North Ayrshire,41,126,56,£200-£300k,36,,,,,,,,,
68,Melrose,Scottish Borders,4,101,150,£300-£400k,16,,,,,,,,,
69,Neilston,East Renfrewshire,78,75,81,Over £400k,17,,,,,,,,,
70,Buckie,Moray,65,69,94,£200-£300k,37,,,,,,,,,
71,Bishopbriggs,East Dunbartonshire,54,123,48,Over £400k,18,,,,,,,,,
72,Burntisland,Fife,74,28,141,£200-£300k,38,,,,,,,,,
73,Montrose,Angus,24,133,79,£200-£300k,39,,,,,,,,,
74,Bathgate,West Lothian,129,93,41,£300-£400k,17,,,,,,,,,
75,Dundee,City of Dundee,74,120,45,£300-£400k,18,,,,,,,,,
76,St Andrews,Fife,101,139,14,£200-£300k,40,,,,,,,,,
77,Newmains,North Lanarkshire,139,22,120,£200-£300k,41,,,,,,,,,
78,Kirkconnel,Dumfries and Galloway,55,26,163,£200-£300k,42,,,,,,,,,
79,Larbert,Falkirk,113,143,9,£200-£300k,43,,,,,,,,,
80,Renton,West Dunbartonshire,8,103,156,£200-£300k,44,,,,,,,,,
81,Barrhead,East Renfrewshire,71,134,36,Over £400k,19,,,,,,,,,
82,Kilmarnock,East Ayrshire,158,85,23,£200-£300k,45,,,,,,,,,
83,Cardenden and Auchterderran,Fife,170,16,98,£200-£300k,46,,,,,,,,,
84,Bonnybridge,Falkirk,110,30,138,£200-£300k,47,,,,,,,,,
85,Glenrothes,Fife,166,60,41,£200-£300k,48,,,,,,,,,
86,Glenmavis,North Lanarkshire,123,72,78,£200-£300k,49,,,,,,,,,
87,Millport,North Ayrshire,3,153,128,£200-£300k,50,,,,,,,,,
88,Stepps,North Lanarkshire,72,148,31,£200-£300k,51,,,,,,,,,
89,Crossgates,Fife,173,46,58,£200-£300k,52,,,,,,,,,
90,Shieldhill,Falkirk,154,5,171,£200-£300k,53,,,,,,,,,
91,Whitburn,West Lothian,121,81,79,£300-£400k,19,,,,,,,,,
92,Livingston,West Lothian,105,116,54,£300-£400k,20,,,,,,,,,
93,Holytown,North Lanarkshire,155,63,69,£200-£300k,55,,,,,,,,,
94,Leven,Fife,124,47,117,£200-£300k,54,,,,,,,,,
95,Laurieston,Falkirk,149,21,129,£200-£300k,56,,,,,,,,,
96,Armadale,West Lothian,141,24,134,£300-£400k,21,,,,,,,,,
97,Methil,Fife,132,11,162,£200-£300k,57,,,,,,,,,
98,Glenboig,North Lanarkshire,98,109,65,£200-£300k,58,,,,,,,,,
99,Aberdeen,City of Aberdeen,101,156,13,£300-£400k,22,,,,,,,,,
100,"High Valleyfield, Low Valleyfield and Cul",Fife,59,76,127,£200-£300k,59,,,,,,,,,
101,Hurlford and Crookedholm,East Ayrshire,164,7,164,£200-£300k,60,,,,,,,,,
102,Hallglen,Falkirk,145,13,155,£200-£300k,61,,,,,,,,,
103,Plains,North Lanarkshire,143,18,153,£200-£300k,62,,,,,,,,,
104,Duntocher and Hardgate,West Dunbartonshire,43,96,133,£200-£300k,63,,,,,,,,,
105,Rosyth,Fife,132,89,83,£200-£300k,64,,,,,,,,,
106,Coatbridge,North Lanarkshire,125,132,44,£200-£300k,65,,,,,,,,,
107,Cowdenbeath and Lumphinnans,Fife,175,27,104,£200-£300k,66,,,,,,,,,
108,Dunfermline,Fife,169,95,30,£200-£300k,67,,,,,,,,,
109,Bo'ness,Falkirk,89,97,104,£200-£300k,68,,,,,,,,,
110,Lochgelly,Fife,172,64,60,£200-£300k,69,,,,,,,,,
111,Broxburn,West Lothian,122,89,95,£300-£400k,23,,,,,,,,,
112,Bothwell,South Lanarkshire,42,166,32,£300-£400k,24,,,,,,,,,
113,Winchburgh,West Lothian,138,88,86,£300-£400k,25,,,,,,,,,
114,Dunipace,Falkirk,81,66,139,£200-£300k,70,,,,,,,,,
115,New Stevenston,North Lanarkshire,157,49,109,£200-£300k,71,,,,,,,,,
116,Mid Calder,West Lothian,93,54,154,£300-£400k,26,,,,,,,,,
117,Wishaw,North Lanarkshire,148,87,83,£200-£300k,72,,,,,,,,,
118,Hamilton,South Lanarkshire,112,144,53,£300-£400k,27,,,,,,,,,
119,Airdrie,North Lanarkshire,140,83,97,£200-£300k,73,,,,,,,,,
120,Kinghorn,Fife,68,130,100,£200-£300k,74,,,,,,,,,
121,Wallyford,East Lothian,137,34,159,Over £400k,20,,,,,,,,,
122,Prestwick,South Ayrshire,58,121,119,£200-£300k,75,,,,,,,,,
123,Uddingston,South Lanarkshire,36,175,7,£300-£400k,28,,,,,,,,,
124,Cleland,North Lanarkshire,151,44,135,£200-£300k,77,,,,,,,,,
125,Motherwell,North Lanarkshire,106,154,45,£200-£300k,76,,,,,,,,,
126,Milton of Campsie,East Dunbartonshire,51,105,144,Over £400k,21,,,,,,,,,
127,Banknock,Falkirk,92,59,160,£200-£300k,78,,,,,,,,,
128,Bellshill,North Lanarkshire,147,139,36,£200-£300k,79,,,,,,,,,
129,Dreghorn,North Ayrshire,119,41,170,£200-£300k,80,,,,,,,,,
130,Stenhousemuir,Falkirk,120,43,166,£200-£300k,81,,,,,,,,,
131,Chryston,North Lanarkshire,76,108,131,£200-£300k,82,,,,,,,,,
132,Elderslie,Renfrewshire,52,154,93,£300-£400k,29,,,,,,,,,
133,Kilmaurs,East Ayrshire,150,42,149,£200-£300k,83,,,,,,,,,
134,Grangemouth,Falkirk,82,103,136,£200-£300k,85,,,,,,,,,
135,Bargeddie,North Lanarkshire,116,89,129,£200-£300k,84,,,,,,,,,
136,Menstrie,Clackmannanshire,62,163,55,£200-£300k,86,,,,,,,,,
137,Old Kilpatrick,West Dunbartonshire,14,150,165,£200-£300k,87,,,,,,,,,
138,Redding,Falkirk,153,72,122,£200-£300k,88,,,,,,,,,
139,Milton of Leys,Highland,63,161,62,£200-£300k,89,,,,,,,,,
140,Tranent,East Lothian,146,89,111,Over £400k,22,,,,,,,,,
141,Lenzie,East Dunbartonshire,60,107,157,Over £400k,23,,,,,,,,,
142,Clarkston,East Renfrewshire,104,136,108,Over £400k,24,,,,,,,,,
143,Westhill (Aberdeenshire),Aberdeenshire,130,160,41,£200-£300k,90,,,,,,,,,
144,Carfin,North Lanarkshire,162,84,113,£200-£300k,91,,,,,,,,,
145,Blantyre,South Lanarkshire,70,141,126,£300-£400k,30,,,,,,,,,
146,Kelty,Fife,168,56,140,£200-£300k,92,,,,,,,,,
147,Longniddry,East Lothian,127,79,161,Over £400k,25,,,,,,,,,
148,East Calder,West Lothian,88,148,114,£300-£400k,31,,,,,,,,,
149,Leslie,Fife,165,86,118,£200-£300k,93,,,,,,,,,
150,Cairneyhill,Fife,167,60,144,£200-£300k,94,,,,,,,,,
151,Chapelhall,North Lanarkshire,152,51,168,£200-£300k,95,,,,,,,,,
152,Carron,Falkirk,22,162,142,£200-£300k,96,,,,,,,,,
