UID,LYOR,OR,CHANGE,SN,REG,PE,QL,AC,GGR,PB,PBR
1043,867,1043,176,Alfreton,East Midlands,1095,574,696,1008,less than £350k,459
1056,1338,1056,-282,Calverton,East Midlands,1290,169,1131,813,less than £350k,461
1063,1174,1063,-111,Market Warsop,East Midlands,1241,180,972,1075,less than £350k,465
1065,642,1065,423,Burton Latimer,East Midlands,1082,737,556,1062,less than £350k,467
1078,1328,1078,-250,Ravenshead,East Midlands,1249,324,1216,575,£350k-£650k,498
1080,920,1080,160,Kibworth Harcourt,East Midlands,1364,1280,446,286,£350k-£650k,499
1085,1254,1085,-169,Clifton (City of Nottingham),East Midlands,1126,590,1106,618,less than £350k,479
1088,834,1088,254,Clay Cross,East Midlands,956,1019,976,570,less than £350k,481
1093,1199,1093,-106,Kimberley,East Midlands,1243,814,914,506,less than £350k,484
1099,760,1099,339,Sutton Bridge,East Midlands,586,754,667,1288,less than £350k,487
1101,823,1101,278,Finedon,East Midlands,1335,652,218,1243,£350k-£650k,505
1102,1211,1102,-109,Skellingthorpe,East Midlands,1259,612,1091,492,£350k-£650k,506
1103,1319,1102,-217,Barlestone,East Midlands,1304,570,1023,573,less than £350k,489
1119,1364,1119,-245,Bracebridge Heath,East Midlands,1242,210,1119,994,less than £350k,500
1123,1305,1123,-182,Edwinstowe,East Midlands,1275,117,1093,1117,less than £350k,502
1124,1358,1123,-235,Ratby,East Midlands,1340,87,1170,1058,£350k-£650k,511
1127,480,1127,647,Bugbrooke,East Midlands,1127,997,598,924,£350k-£650k,514
1129,1371,1129,-242,East Goscote,East Midlands,1368,421,1309,221,£350k-£650k,516
1155,1210,1155,-55,Rainworth,East Midlands,1036,220,1360,843,less than £350k,513
1161,1284,1161,-123,Blidworth,East Midlands,1269,295,1242,734,less than £350k,515
1165,1318,1165,-153,Shepshed,East Midlands,1325,1290,808,130,less than £350k,518
1169,1361,1169,-192,Holton le Clay,East Midlands,877,463,1252,961,less than £350k,520
1171,1362,1170,-192,Cherry Willingham,East Midlands,1173,604,1110,741,less than £350k,521
1179,1339,1179,-160,North Hykeham,East Midlands,1128,579,1353,378,less than £350k,525
1180,1348,1180,-168,Carlton (Gedling),East Midlands,1162,729,1121,629,less than £350k,526
1186,1146,1186,40,Jacksdale,East Midlands,1175,600,975,963,less than £350k,529
1187,659,1187,528,Etwall,East Midlands,1193,708,469,1240,£350k-£650k,540
1188,1191,1188,-3,Kirkby-in-Ashfield,East Midlands,1205,371,1225,806,less than £350k,530
1195,1230,1195,-35,Selston,East Midlands,1185,244,1192,1087,£350k-£650k,543
1197,1151,1197,46,Coalville,East Midlands,1297,552,1006,819,less than £350k,535
1213,1224,1213,-11,Newton (Bolsover),East Midlands,1130,683,896,1066,less than £350k,542
1215,860,1215,355,Middleton Cheney,East Midlands,1031,1200,213,1279,£350k-£650k,552
1219,1320,1219,-101,Corby,East Midlands,1370,316,1342,522,less than £350k,543
1230,1077,1230,153,Uppingham,East Midlands,1372,1361,88,842,£350k-£650k,561
1232,1323,1232,-91,Anstey,East Midlands,1349,127,964,1297,£350k-£650k,562
1241,1053,1241,188,Newbold Verdon,East Midlands,1315,658,571,1211,£350k-£650k,568
1244,1333,1244,-89,Radcliffe on Trent,East Midlands,1023,1316,1106,330,£350k-£650k,571
1246,947,1246,299,Morton (South Kesteven),East Midlands,1354,855,472,1151,less than £350k,552
1248,1344,1248,-96,Markfield,East Midlands,1332,482,1050,986,£350k-£650k,573
1251,1299,1251,-48,Bingham,East Midlands,1338,690,916,913,£350k-£650k,576
1252,1122,1252,130,Narborough/Enderby,East Midlands,1154,1272,1000,455,£350k-£650k,577
1263,1103,1263,160,Wollaston,East Midlands,1298,1264,284,1037,£350k-£650k,584
1264,1167,1264,97,Syston,East Midlands,1365,522,717,1181,£350k-£650k,585
1268,1064,1268,204,Whetstone,East Midlands,1356,1125,1014,410,£350k-£650k,589
1275,925,1275,350,Hinton,East Midlands,1092,1052,537,1261,£350k-£650k,591
1277,1309,1277,-32,Keyworth,East Midlands,1331,774,996,873,£350k-£650k,593
1278,748,1278,530,Thrapston,East Midlands,930,1367,432,904,£350k-£650k,594
1282,1346,1282,-64,Sileby,East Midlands,1363,416,809,1258,less than £350k,560
1285,795,1285,490,Rothwell,East Midlands,1361,588,444,1342,less than £350k,562
1289,1008,1289,281,Tibshelf,East Midlands,1107,887,1009,1078,less than £350k,563
1290,1302,1290,-12,Ruskington,East Midlands,1267,1119,940,744,less than £350k,564
1311,1116,1311,195,Long Buckby,East Midlands,1266,1131,530,1216,£350k-£650k,609
1319,1265,1319,54,South Normanton,East Midlands,1149,1292,1116,593,less than £350k,576
1320,1290,1320,30,Scotter,East Midlands,1220,818,706,1313,less than £350k,577
1328,971,1328,357,Hilton (South Derbyshire),East Midlands,639,1276,1297,919,less than £350k,581
1330,1085,1330,245,Measham,East Midlands,1256,1146,739,1181,less than £350k,582
1331,1217,1331,114,Desborough,East Midlands,1362,1162,817,1031,less than £350k,583
1332,1200,1332,132,Castle Donington,East Midlands,1291,1339,520,1071,£350k-£650k,618
1340,1268,1340,72,Irchester,East Midlands,1306,765,697,1358,£350k-£650k,624
1342,1370,1342,-28,Northampton (South Northamptonshire),East Midlands,1302,1291,1337,242,£350k-£650k,625
1345,1369,1345,-24,Groby,East Midlands,1344,454,1154,1283,£350k-£650k,627
1351,1335,1351,16,Great Glen,East Midlands,1366,1351,634,1016,£350k-£650k,630
1353,1205,1353,148,Breaston,East Midlands,1111,1179,815,1334,£350k-£650k,631
1360,1301,1360,59,Broughton Astley,East Midlands,1342,1224,1261,762,£350k-£650k,635
1365,1250,1365,115,Ruddington,East Midlands,1309,820,1077,1346,£350k-£650k,638
1366,1345,1366,21,Fleckney,East Midlands,1357,1135,948,1290,£350k-£650k,639
1369,1244,1369,125,Cosby,East Midlands,1353,1152,923,1370,£350k-£650k,641
1371,1291,1371,80,East Leake,East Midlands,1320,1366,1003,1104,£350k-£650k,643
