UID,LYOR,OR,CHANGE,SN,REG,PE,QL,AC,GGR,PB,PBR
1083,902,1083,181,Cheshunt,East of England,788,875,1029,759,Over £650k,106
1089,1306,1089,-217,Spixworth,East of England,771,482,1289,727,£350k-£650k,501
1094,1110,1094,-16,Welwyn Garden City,East of England,896,1065,1268,136,Over £650k,107
1104,940,1104,164,Jaywick,East of England,385,42,1364,1362,less than £350k,490
1114,1196,1114,-82,Houghton Regis,East of England,761,473,1172,1018,£350k-£650k,507
1116,1219,1116,-103,Rayleigh,East of England,1017,1073,1101,365,£350k-£650k,508
1117,478,1117,639,Chatteris,East of England,1195,918,389,1091,less than £350k,499
1121,1041,1121,80,Belton (Great Yarmouth),East of England,261,587,1048,1321,£350k-£650k,510
1126,1357,1126,-231,Great Notley,East of England,1215,440,1303,404,£350k-£650k,513
1128,1180,1128,-52,Waltham,East of England,965,790,776,1053,£350k-£650k,515
1140,1186,1140,-46,Caddington,East of England,446,177,1328,1259,£350k-£650k,522
1141,881,1141,260,Mattishall,East of England,1177,942,290,1203,£350k-£650k,523
1148,1126,1148,22,Radlett,East of England,1052,1210,1064,285,Over £650k,113
1152,813,1152,339,Barton-le-Clay,East of England,446,1105,731,1194,£350k-£650k,527
1156,1026,1156,130,Warboys,East of England,1359,427,404,1270,£350k-£650k,528
1160,661,1160,499,Hoddesdon,East of England,642,1301,710,855,£350k-£650k,531
1163,744,1163,419,Waltham,East of England,646,1323,1068,424,£350k-£650k,532
1181,805,1181,376,Great Dunmow,East of England,1282,1249,333,804,Over £650k,116
1185,1138,1185,47,Wilstead,East of England,1079,942,997,734,£350k-£650k,539
1193,1130,1193,63,Borehamwood,East of England,1104,723,1348,315,Over £650k,118
1199,891,1199,308,Little Paxton,East of England,629,1057,1103,897,£350k-£650k,544
1204,995,1204,209,Swavesey,East of England,1330,731,595,1033,£350k-£650k,545
1208,1341,1208,-133,Stilton,East of England,1367,912,647,836,£350k-£650k,548
1214,1321,1214,-107,Stanford-le-Hope,East of England,1066,909,1003,854,£350k-£650k,551
1216,980,1215,235,Epping,East of England,1294,1044,802,650,Over £650k,121
1217,1038,1217,179,Brampton (Huntingdonshire),East of England,1314,1080,614,791,£350k-£650k,553
1218,1117,1218,101,Red Lodge,East of England,1322,209,1281,863,£350k-£650k,554
1222,998,1222,224,Fairfield Park,East of England,958,991,950,985,£350k-£650k,557
1224,591,1224,633,Shenley,East of England,1111,367,810,1318,Over £650k,122
1227,930,1227,297,Lakenheath,East of England,774,447,989,1330,£350k-£650k,560
1235,1148,1235,87,Tilbury,East of England,552,1226,1280,602,£350k-£650k,564
1238,626,1238,612,Over,East of England,1339,803,376,1228,£350k-£650k,566
1242,1315,1242,-73,Cambourne,East of England,1289,633,1340,341,£350k-£650k,569
1247,1217,1247,30,Hatfield Peverel,East of England,1245,966,804,914,£350k-£650k,572
1249,802,1249,447,Wootton (Bedford),East of England,1136,693,584,1302,£350k-£650k,574
1250,1330,1250,-80,Canvey Island,East of England,580,694,1368,939,£350k-£650k,575
1256,818,1256,438,Waterbeach,East of England,1352,1107,906,531,£350k-£650k,579
1258,1032,1258,226,Sutton (East Cambridgeshire),East of England,1348,921,657,987,£350k-£650k,580
1259,1147,1259,112,Stotfold,East of England,1004,869,1097,950,£350k-£650k,581
1260,1282,1260,-22,North Weald Bassett,East of England,1305,603,1006,967,Over £650k,123
1262,1127,1262,135,Marston Moretaine,East of England,1075,758,834,1197,£350k-£650k,583
1267,682,1267,585,Longstanton,East of England,1337,643,807,1079,£350k-£650k,588
1270,1296,1270,-26,Northwood,East of England,883,1217,1128,683,Over £650k,124
1276,1098,1276,178,Ormesby St Margaret,East of England,723,1306,1000,856,£350k-£650k,592
1279,1262,1279,17,Loughton,East of England,1105,667,1223,958,Over £650k,126
1280,1045,1279,234,Harlow,East of England,1114,1097,897,984,£350k-£650k,595
1283,1317,1283,-34,Knebworth,East of England,1069,1356,1019,320,Over £650k,127
1286,934,1286,352,Frinton-on-Sea,East of England,387,1337,1267,643,£350k-£650k,596
1287,1011,1287,276,Mayland,East of England,800,1012,1224,955,£350k-£650k,597
1293,986,1293,307,Littleport,East of England,1026,1004,1113,959,£350k-£650k,600
1294,700,1294,594,Godmanchester,East of England,829,1365,328,1145,£350k-£650k,601
1295,1095,1295,200,Brentwood,East of England,1227,1152,1095,600,Over £650k,128
1302,,1302,1302,Watlington (King's Lynn and West Norfolk),East of England,1084,1210,747,1091,£350k-£650k,605
1309,1327,1309,-18,Chadwell St Mary,East of England,998,630,1212,1202,£350k-£650k,607
1310,878,1310,432,Melbourn,East of England,1257,764,575,1331,£350k-£650k,608
1313,828,1313,485,Ampthill,East of England,842,1354,519,1201,£350k-£650k,610
1315,1276,1315,39,Welham Green,East of England,1170,388,1035,1340,Over £650k,129
1317,1237,1317,80,Bromham (Bedford),East of England,992,901,1025,1246,£350k-£650k,612
1325,1287,1325,38,Lower Stondon,East of England,832,1139,1197,1106,£350k-£650k,616
1329,973,1329,356,Rochford,East of England,1073,1267,767,1190,£350k-£650k,617
1343,1197,1343,146,Basildon,East of England,1167,1037,1366,715,£350k-£650k,626
1349,1279,1349,70,Sawtry,East of England,1360,674,974,1291,£350k-£650k,628
1354,1259,1354,95,Potters Bar,East of England,1199,1298,1244,786,Over £650k,132
1356,1283,1356,73,Witchford,East of England,1346,1362,931,717,£350k-£650k,632
1359,1353,1359,6,Papworth Everard,East of England,1295,961,1211,1157,£350k-£650k,634
1368,1293,1368,75,Girton,East of England,1327,1369,1045,783,Over £650k,133
1370,1367,1370,3,Bar Hill,East of England,1319,703,1357,1287,£350k-£650k,642
1372,1366,1372,6,Cuffley,East of England,1229,1345,1354,1254,Over £650k,134
